인스턴스 타입,플랫폼,개수,리전,온디멘드 시간당 비용,Standard RI(1년) 할인율,Converterble RI(1년) 할인율,Standard RI(3년) 할인율,Converterble RI(3년) 할인율,Instance Savings Plan(1년) 할인율,Compute Savings Plan(1년) 할인율,Instance Savings Plan(1년) 할인율,Compute Savings Plan(3년) 할인율
m4.4xlarge,Windows,1,eu-west-2
m4.large,Red Hat Enterprise Linux,1,eu-west-2
m4.xlarge,Red Hat Enterprise Linux,3,eu-west-2
m6i.4xlarge,Windows,7,eu-west-2
m4.2xlarge,Red Hat Enterprise Linux,1,eu-west-2
m5.xlarge,Windows,1,eu-west-2
m6i.large,Linux/UNIX,5,eu-west-2
t3.medium,Linux/UNIX,4,eu-west-2
c6i.xlarge,Windows,12,eu-west-2
t2.micro,Linux/UNIX,1,eu-west-2
m6i.xlarge,Windows,1,eu-west-2
c4.xlarge,Red Hat Enterprise Linux,4,eu-west-2
