인스턴스 타입,플랫폼,개수,리전,온디멘드 시간당 비용,Standard RI(1년) 할인율,Converterble RI(1년) 할인율,Standard RI(3년) 할인율,Converterble RI(3년) 할인율,Instance Savings Plan(1년) 할인율,Compute Savings Plan(1년) 할인율,Instance Savings Plan(1년) 할인율.1,Compute Savings Plan(3년) 할인율
t2.medium,RHEL,2,ap-northeast-1,0.1208000000,,,,,,,,
t3.medium,RHEL,3,ap-northeast-1,0.1144000000,,,,,,,,
t2.micro,RHEL,4,ap-northeast-1,0.0752000000,,,,,,,,
t2.small,RHEL,1,ap-northeast-1,0.0904000000,,,,,,,,
m4.large,RHEL,2,ap-northeast-1,0.1890000000,,,,,,,,
c4.4xlarge,RHEL,4,ap-northeast-1,1.1380000000,,,,,,,,
c4.2xlarge,RHEL,1,ap-northeast-1,0.6340000000,,,,,,,,
m4.xlarge,RHEL,2,ap-northeast-1,0.3180000000,,,,,,,,
t3.medium,Linux,15,ap-northeast-1,0.0544000000,,,,,,,,
c5a.xlarge,Linux,1,ap-northeast-1,0.1920000000,,,,,,,,
m5.xlarge,Windows,6,ap-northeast-1,0.4320000000,,,,,,,,
m6i.large,Linux,3,ap-northeast-1,0.1240000000,,,,,,,,
t2.micro,Linux,4,ap-northeast-1,0.0152000000,,,,,,,,
c4.8xlarge,Windows,2,ap-northeast-1,3.6720000000,,,,,,,,
c6i.2xlarge,Windows,8,ap-northeast-1,0.7960000000,,,,,,,,
t2.xlarge,Windows,1,ap-northeast-1,0.2842000000,,,,,,,,
t2.large,RHEL,1,ap-northeast-1,0.1816000000,,,,,,,,
c5.9xlarge,Windows,1,ap-northeast-1,3.5820000000,,,,,,,,
t2.large,Windows,1,ap-northeast-1,0.1496000000,,,,,,,,
t3.micro,Linux,3,ap-northeast-1,0.0136000000,,,,,,,,
t3a.medium,Linux,1,ap-northeast-1,0.0490000000,,,,,,,,
t3.medium,Windows,1,ap-northeast-1,0.0728000000,,,,,,,,
t4g.micro,Linux,1,ap-northeast-1,0.0108000000,,,,,,,,
t3.small,Linux,2,ap-northeast-1,0.0272000000,,,,,,,,
m5.4xlarge,Windows,2,ap-northeast-1,1.7280000000,,,,,,,,
r6i.2xlarge,Linux,1,ap-northeast-1,0.6080000000,,,,,,,,
m6i.xlarge,Windows,1,ap-northeast-1,0.4320000000,,,,,,,,
c6i.2xlarge,Linux,27,ap-northeast-1,0.4280000000,,,,,,,,
c6i.large,Linux,1,ap-northeast-1,0.1070000000,,,,,,,,
c6i.xlarge,Windows,12,ap-northeast-1,0.3980000000,,,,,,,,
t3.large,Linux,1,ap-northeast-1,0.1088000000,,,,,,,,
t2.nano,Linux,1,ap-northeast-2,0.0072000000,,,,,,,,
m5.4xlarge,Windows,4,ap-northeast-2,1.6800000000,,,,,,,,
c6i.2xlarge,Windows,8,ap-northeast-2,0.7520000000,,,,,,,,
t3.medium,Windows,2,ap-northeast-2,0.0704000000,,,,,,,,
m5.xlarge,Windows,1,ap-northeast-2,0.4200000000,,,,,,,,
m6i.4xlarge,Windows,2,ap-northeast-2,1.6800000000,,,,,,,,
t3.medium,Linux,1,ap-northeast-2,0.0520000000,,,,,,,,
m5a.xlarge,RHEL,1,ap-northeast-2,0.2720000000,,,,,,,,
m5a.large,RHEL,1,ap-northeast-2,0.1660000000,,,,,,,,
c6i.xlarge,Windows,12,ap-southeast-1,0.3800000000,,,,,,,,
c6i.4xlarge,Linux,1,ap-southeast-1,0.7840000000,,,,,,,,
m4.4xlarge,Windows,1,eu-west-2,1.6640000000,,,,,,,,
m4.large,RHEL,1,eu-west-2,0.1760000000,,,,,,,,
m4.xlarge,RHEL,3,eu-west-2,0.2920000000,,,,,,,,
m6i.4xlarge,Windows,7,eu-west-2,1.6240000000,,,,,,,,
m4.2xlarge,RHEL,1,eu-west-2,0.5940000000,,,,,,,,
m5.xlarge,Windows,1,eu-west-2,0.4060000000,,,,,,,,
m6i.large,Linux,5,eu-west-2,0.1110000000,,,,,,,,
t3.medium,Linux,4,eu-west-2,0.0472000000,,,,,,,,
c6i.xlarge,Windows,12,eu-west-2,0.3860000000,,,,,,,,
t2.micro,Linux,1,eu-west-2,0.0132000000,,,,,,,,
m6i.xlarge,Windows,1,eu-west-2,0.4060000000,,,,,,,,
c4.xlarge,RHEL,4,eu-west-2,0.2970000000,,,,,,,,
t3.micro,Linux,3,ap-east-1,0.0146000000,,,,,,,,
t3a.xlarge,RHEL,1,us-east-2,0.2104000000,,,,,,,,
m4.4xlarge,Windows,1,eu-west-1,1.6240000000,,,,,,,,
m5.xlarge,Windows,1,eu-west-1,0.3980000000,,,,,,,,
m6i.2xlarge,Windows,6,eu-west-1,0.7960000000,,,,,,,,
